wavelength,flux,err
1.930436134338379,1.5916503805074672e-15,8.337730519038238e-17
1.9307236671447752,1.4838281680649958e-15,9.319429023093262e-17
1.931011199951172,1.0633326890570345e-15,1.084898238057796e-16
1.931298851966858,1.3353611344222876e-15,8.576514459738061e-17
1.9315863847732544,1.2634399000367983e-15,6.693421641705008e-17
1.9318739175796509,1.4099078973647362e-15,5.069995839111404e-17
1.9321615695953367,1.6798943587356918e-15,3.036446656546267e-17
1.9324491024017332,1.7215481690881441e-15,2.7168656355063125e-17
1.9327367544174192,1.4683120529106767e-15,3.141348180628783e-17
1.933024287223816,1.6706300378916145e-15,2.9819992786858235e-17
1.9333118200302124,1.7593888256408114e-15,2.632235908464909e-17
1.9335994720458984,1.783440838987311e-15,4.039113802497181e-17
1.9338870048522947,1.4214734824081184e-15,7.4501377185044e-17
1.9341745376586912,1.5236681422491116e-15,7.315324905581827e-17
1.9344621896743777,1.572700326435478e-15,5.441461032820577e-17
1.934749722480774,1.5975782855489588e-15,5.717195333115966e-17
1.93503737449646,1.6721125767853435e-15,5.566434794925658e-17
1.9353249073028564,1.7065794961894602e-15,4.960454055030826e-17
1.9356124401092527,1.6177149333692874e-15,3.433028154924463e-17
1.9359000921249387,1.6240676265947504e-15,3.263652657711928e-17
1.9361876249313352,1.777622272361385e-15,4.763635236752385e-17
1.936475157737732,1.3782471118249362e-15,6.27942371056869e-17
1.936762809753418,1.8086614418147503e-15,4.973247517045062e-17
1.9370503425598145,1.7938525567892427e-15,3.0586964614804593e-17
1.9373379945755005,1.641706557402216e-15,2.679184145585824e-17
1.9376255273818968,1.6989726932129068e-15,3.427907312267933e-17
1.9379130601882937,1.3805811025311297e-15,5.005797028857178e-17
1.9382007122039793,1.4571519389727016e-15,4.6810781689447235e-17
1.938488245010376,1.5226598095024785e-15,3.362334445863981e-17
1.9387757778167725,1.623209048093107e-15,4.709668441550409e-17
1.9390634298324585,1.3972315803038828e-15,8.511663346436429e-17
1.9393509626388548,1.6406030458461499e-15,1.1107055268174687e-16
1.9396384954452512,1.2155193855901634e-15,9.806772659057825e-17
