CENTRALWAVELNG,BANDWIDTH,FLAM,FLAMERR1,FLAMERR2,FLAM_AUTHORS,FNU,FNUERR1,FNUERR2,FNU_AUTHORS,OBS_DATE,OBS_DATEERR1,OBS_DATEERR2
4.9004,,2.1880070678219372e-16,1.1851087513937358e-17,-1.1851087513937358e-17,Calculated,0.0017525893622766908,9.49269781336329e-05,-9.49269781336329e-05,M&acirc;lin et al. 2025,,,
4.9012,,2.2231884082885906e-16,1.2616505871983949e-17,-1.2616505871983949e-17,Calculated,0.0017813515769654876,0.0001010909941193592,-0.0001010909941193592,M&acirc;lin et al. 2025,,,
4.902,,2.3352670463564854e-16,1.1206557834105806e-17,-1.1206557834105806e-17,Calculated,0.0018717671601497998,8.982299032963212e-05,-8.982299032963212e-05,M&acirc;lin et al. 2025,,,
4.9028,,2.159598814943629e-16,1.1130991364614219e-17,-1.1130991364614219e-17,Calculated,0.0017315308317665335,8.924645912282394e-05,-8.924645912282394e-05,M&acirc;lin et al. 2025,,,
4.9036,,2.259718174854786e-16,1.1529960232597373e-17,-1.1529960232597373e-17,Calculated,0.001812396772419289,9.247552612628388e-05,-9.247552612628388e-05,M&acirc;lin et al. 2025,,,
4.9044,,2.1548574601196667e-16,1.280036674706014e-17,-1.280036674706014e-17,Calculated,0.0017288582188000467,0.00010269829751560823,-0.00010269829751560823,M&acirc;lin et al. 2025,,,
4.9052,,2.0042287962634589e-16,1.2226800771898005e-17,-1.2226800771898005e-17,Calculated,0.001608532853072486,9.8128570781121e-05,-9.8128570781121e-05,M&acirc;lin et al. 2025,,,
4.90601,,2.0935875858980263e-16,1.1928307341717485e-17,-1.1928307341717485e-17,Calculated,0.00168079812794866,9.576421251540393e-05,-9.576421251540393e-05,M&acirc;lin et al. 2025,,,
4.90681,,2.0851393602070172e-16,1.2740939612448657e-17,-1.2740939612448657e-17,Calculated,0.0016745621392424798,0.00010232167451514148,-0.00010232167451514148,M&acirc;lin et al. 2025,,,
4.90761,,2.2081579044475263e-16,1.3155048335634792e-17,-1.3155048335634792e-17,Calculated,0.00177393639935419,0.0001056818401928777,-0.0001056818401928777,M&acirc;lin et al. 2025,,,
4.90841,,2.1606533313480402e-16,1.1712441332084434e-17,-1.1712441332084434e-17,Calculated,0.001736339816592337,9.412328178399541e-05,-9.412328178399541e-05,M&acirc;lin et al. 2025,,,
4.90921,,2.189160926653231e-16,1.1011639963864127e-17,-1.1011639963864127e-17,Calculated,0.00175982309026225,8.852039169038335e-05,-8.852039169038335e-05,M&acirc;lin et al. 2025,,,
4.91001,,2.273404899755174e-16,1.2190384017226394e-17,-1.2190384017226394e-17,Calculated,0.001828141397423791,9.80280533167888e-05,-9.80280533167888e-05,M&acirc;lin et al. 2025,,,
4.91081,,2.3326893468624156e-16,1.5526893596249476e-17,-1.5526893596249476e-17,Calculated,0.0018764264330956204,0.00012489907242494065,-0.00012489907242494065,M&acirc;lin et al. 2025,,,
4.91161,,2.4126243957314535e-16,1.325814353346133e-17,-1.325814353346133e-17,Calculated,0.0019413595335813054,0.0001066839222541769,-0.0001066839222541769,M&acirc;lin et al. 2025,,,
4.91241,,2.257692446759033e-16,1.370413289926844e-17,-1.370413289926844e-17,Calculated,0.001817283303116758,0.00011030861150855267,-0.00011030861150855267,M&acirc;lin et al. 2025,,,
4.91321,,2.1924939054546066e-16,1.1859112317549638e-17,-1.1859112317549638e-17,Calculated,0.0017653784734954468,9.548861936665614e-05,-9.548861936665614e-05,M&acirc;lin et al. 2025,,,
4.91401,,2.168879313782687e-16,1.198727802080847e-17,-1.198727802080847e-17,Calculated,0.0017469334904811628,9.655206401381754e-05,-9.655206401381754e-05,M&acirc;lin et al. 2025,,,
4.91481,,2.0777860630488e-16,1.1287295766208596e-17,-1.1287295766208596e-17,Calculated,0.0016741075012704737,9.09436579988479e-05,-9.09436579988479e-05,M&acirc;lin et al. 2025,,,
4.91561,,2.1293142967386208e-16,1.1709445107619828e-17,-1.1709445107619828e-17,Calculated,0.0017161837672522928,9.437573235669545e-05,-9.437573235669545e-05,M&acirc;lin et al. 2025,,,
4.91642,,2.1623043545366701e-16,1.5743018296301025e-17,-1.5743018296301025e-17,Calculated,0.0017433409271088041,0.0001269268503047768,-0.0001269268503047768,M&acirc;lin et al. 2025,,,
4.91722,,2.267348159008748e-16,1.3447941246429942e-17,-1.3447941246429942e-17,Calculated,0.0018286272015143213,0.00010845829331450864,-0.00010845829331450864,M&acirc;lin et al. 2025,,,
4.91802,,2.1131442685217822e-16,1.2656060098621689e-17,-1.2656060098621689e-17,Calculated,0.0017048161405829965,0.00010210498096948216,-0.00010210498096948216,M&acirc;lin et al. 2025,,,
4.91882,,1.9102338562921738e-16,1.091844275036431e-17,-1.091844275036431e-17,Calculated,0.0015416165088568347,8.811513595325657e-05,-8.811513595325657e-05,M&acirc;lin et al. 2025,,,
4.91962,,2.080721917940198e-16,1.2135110533465435e-17,-1.2135110533465435e-17,Calculated,0.0016797523116262347,9.796590209713111e-05,-9.796590209713111e-05,M&acirc;lin et al. 2025,,,
4.92042,,2.0819569909706433e-16,1.567563413218654e-17,-1.567563413218654e-17,Calculated,0.0016812965706513522,0.00012658950220169145,-0.00012658950220169145,M&acirc;lin et al. 2025,,,
4.92122,,1.957332120888514e-16,1.2167235178577658e-17,-1.2167235178577658e-17,Calculated,0.0015811695485732566,9.828920472608985e-05,-9.828920472608985e-05,M&acirc;lin et al. 2025,,,
4.92202,,2.136295607868514e-16,1.0958971491394929e-17,-1.0958971491394929e-17,Calculated,0.001726301262944214,8.855743679144007e-05,-8.855743679144007e-05,M&acirc;lin et al. 2025,,,
4.92282,,2.1902175906230452e-16,1.2750149367051576e-17,-1.2750149367051576e-17,Calculated,0.0017704505552961322,0.00010306514349829357,-0.00010306514349829357,M&acirc;lin et al. 2025,,,
4.92362,,2.2502925373860458e-16,1.344837171513927e-17,-1.344837171513927e-17,Calculated,0.0018196036351454982,0.00010874455499941641,-0.00010874455499941641,M&acirc;lin et al. 2025,,,
4.92442,,2.1109938393134064e-16,1.3290161404219951e-17,-1.3290161404219951e-17,Calculated,0.0017075209263313438,0.0001075002128827037,-0.0001075002128827037,M&acirc;lin et al. 2025,,,
4.92522,,2.2413247803380285e-16,1.2250118281984727e-17,-1.2250118281984727e-17,Calculated,0.001813531451781833,9.911983746093417e-05,-9.911983746093417e-05,M&acirc;lin et al. 2025,,,
4.92602,,1.9834671417568316e-16,1.1158589378641971e-17,-1.1158589378641971e-17,Calculated,0.001605412043437941,9.031727019376426e-05,-9.031727019376426e-05,M&acirc;lin et al. 2025,,,
