wavelength,flux,err
4.9004,2.1880070678219372e-16,1.1851087513937358e-17
4.9012,2.22318840828859e-16,1.2616505871983949e-17
4.902,2.3352670463564854e-16,1.1206557834105806e-17
4.9028,2.1595988149436291e-16,1.113099136461422e-17
4.9036,2.259718174854786e-16,1.1529960232597373e-17
4.9044,2.1548574601196667e-16,1.280036674706014e-17
4.9052,2.0042287962634586e-16,1.2226800771898005e-17
4.90601,2.0935875858980263e-16,1.1928307341717485e-17
4.90681,2.0851393602070172e-16,1.2740939612448657e-17
4.90761,2.2081579044475263e-16,1.3155048335634792e-17
4.90841,2.16065333134804e-16,1.1712441332084434e-17
4.90921,2.189160926653231e-16,1.1011639963864129e-17
4.91001,2.2734048997551743e-16,1.2190384017226395e-17
4.91081,2.3326893468624156e-16,1.5526893596249476e-17
4.91161,2.4126243957314535e-16,1.3258143533461329e-17
4.91241,2.257692446759033e-16,1.3704132899268439e-17
4.91321,2.1924939054546063e-16,1.1859112317549638e-17
4.91401,2.168879313782687e-16,1.1987278020808469e-17
4.91481,2.0777860630488002e-16,1.1287295766208597e-17
4.91561,2.1293142967386208e-16,1.1709445107619828e-17
4.91642,2.16230435453667e-16,1.5743018296301025e-17
4.91722,2.267348159008748e-16,1.3447941246429943e-17
4.91802,2.1131442685217822e-16,1.2656060098621689e-17
4.91882,1.9102338562921735e-16,1.091844275036431e-17
4.91962,2.080721917940198e-16,1.2135110533465436e-17
4.92042,2.081956990970643e-16,1.567563413218654e-17
4.92122,1.957332120888514e-16,1.2167235178577658e-17
4.92202,2.1362956078685142e-16,1.0958971491394929e-17
4.92282,2.190217590623045e-16,1.2750149367051576e-17
4.92362,2.2502925373860453e-16,1.3448371715139269e-17
4.92442,2.1109938393134064e-16,1.3290161404219952e-17
4.92522,2.2413247803380285e-16,1.2250118281984729e-17
4.92602,1.9834671417568316e-16,1.1158589378641972e-17
4.92683,1.9333426743990361e-16,1.1222481792288101e-17
4.92763,2.124051700164352e-16,1.2073352009026197e-17
4.92843,2.1562265438443971e-16,1.2789227205418873e-17
4.92923,2.2193079221933628e-16,1.1918724106900389e-17
4.93003,2.243749270042639e-16,1.2107789860741973e-17
4.93083,2.3061152249155913e-16,1.1666862250611929e-17
4.93163,2.1253624537984783e-16,1.1637588844156748e-17
4.93243,2.0594893573087654e-16,1.1100372979830689e-17
4.93323,2.1202789198758162e-16,1.2372223971679414e-17
4.93403,2.0462229188770652e-16,1.2669866611062267e-17
4.93483,2.1373451007663155e-16,1.3059233905804266e-17
4.93563,2.1354029491959975e-16,1.1248378457968197e-17
4.93643,2.1132665786296142e-16,1.1074942153028488e-17
4.93724,2.019659998402854e-16,1.2605824871099758e-17
4.93804,2.0188398450177841e-16,1.3649858261677248e-17
4.93884,2.230485557176558e-16,1.408977743439619e-17
4.93964,2.198112582245834e-16,1.3421948771655318e-17
4.94044,2.333434168301238e-16,1.416546408758301e-17
4.94124,2.2424301470804975e-16,1.3057734142283093e-17
4.94204,2.141740741412456e-16,1.1347329549130408e-17
4.94284,2.115218541593309e-16,1.1425131806118662e-17
4.94364,2.040131864042868e-16,1.134364849645218e-17
4.94444,2.1738892909997108e-16,1.1049387730912008e-17
4.94524,2.2888282292135903e-16,1.0821052001664585e-17
4.94604,2.286849768424574e-16,1.2413901150975116e-17
4.94684,2.0433545309306426e-16,1.3778104501423366e-17
4.94765,1.9712892997105041e-16,1.1316957948338363e-17
4.94845,1.9494248497074991e-16,1.0579438671220124e-17
4.94925,2.015313189633144e-16,1.2778476418538448e-17
4.95005,2.0850896339286622e-16,1.2103492533328788e-17
4.95085,2.1820846197342128e-16,1.2459294536394894e-17
4.95165,2.1791793436988895e-16,1.3372318080981137e-17
4.95245,2.1109629924719326e-16,1.3839644864940253e-17
4.95325,2.077964431896569e-16,1.3066654097195653e-17
4.95405,2.0762989573949951e-16,1.21536024650474e-17
4.95485,1.9896840377241023e-16,1.432617822041209e-17
4.95565,2.037770874432229e-16,1.497240062377762e-17
4.95645,2.1028512546670323e-16,1.3572498032300753e-17
4.95725,2.056724761206214e-16,1.2638813996224114e-17
4.95806,2.0580082336667655e-16,1.3024432391864633e-17
4.95886,2.0925713577315303e-16,1.3214731343701436e-17
4.95966,2.307177360597303e-16,1.1825902353016257e-17
4.96046,2.128933757970923e-16,1.1267007579073817e-17
4.96126,2.0580028127481183e-16,1.049739439742437e-17
4.96206,2.1577848968260515e-16,1.1896501751847338e-17
4.96286,2.1428635186757854e-16,1.2859748788382257e-17
4.96366,2.0809781432843415e-16,1.252826005221822e-17
4.96446,2.156304463397498e-16,1.1997808958771909e-17
4.96526,2.1874015035542254e-16,9.952894894947672e-18
4.96606,2.2035283939554744e-16,1.2284132796483684e-17
4.96686,2.189675589278091e-16,1.1337242391158125e-17
4.96766,2.101532568985872e-16,1.1781425838477669e-17
4.96846,2.0509899547697661e-16,1.2117247741036737e-17
4.96927,2.0538646870118022e-16,1.393323516183108e-17
4.97007,2.0354511440181616e-16,1.2711615010254609e-17
4.97087,2.071857799478853e-16,1.1892118123333513e-17
4.97167,2.0963665039633967e-16,1.1922519188331128e-17
4.97247,2.0822523887349152e-16,1.1630553475772444e-17
4.97327,2.108612116935374e-16,1.2398232687200977e-17
4.97407,2.137468625612771e-16,1.1016634554751815e-17
4.97487,2.1743475958266198e-16,1.0510958186307873e-17
4.97567,2.135411535739209e-16,1.0067842596727565e-17
4.97647,2.0538451114551246e-16,1.0605751987946812e-17
4.97727,2.1214764868877831e-16,1.2280172146325605e-17
4.97807,2.0133159366652079e-16,1.2601372160945355e-17
4.97887,1.961606392334302e-16,1.2366855829512093e-17
4.97968,2.0441113551544063e-16,1.268956988828602e-17
4.98048,2.0505525835005791e-16,1.3792593441582685e-17
4.98128,2.171924280825292e-16,1.424637374784022e-17
4.98208,2.0143547252346435e-16,1.3875286599370357e-17
4.98288,2.1018449939867152e-16,1.649227886105905e-17
4.98368,2.0287527806358234e-16,1.333984460002811e-17
4.98448,2.2064286418676164e-16,1.348768946402921e-17
4.98528,2.1808439065371975e-16,1.6436125536550194e-17
4.98608,2.2455253972715723e-16,1.5308168385044404e-17
4.98688,2.220562215909898e-16,1.4022823274205054e-17
4.98768,2.1748809763892482e-16,1.2994375629971265e-17
4.98848,2.1899925766357903e-16,1.1461238525937724e-17
4.98928,2.1007573660242374e-16,1.1814598970863024e-17
4.99009,2.0354040012330581e-16,1.0867603323567824e-17
