wavelength,flux,error
4751.18,1.071576044325558e-18,5.004012549998461e-17
4752.43,1.5775013128048169e-18,5.524209529238529e-17
4753.68,-9.504676183265314e-18,5.472936400129804e-17
4754.93,-3.1302518991790725e-18,5.971670309658651e-17
4756.18,-5.678542055269949e-18,4.554391429795643e-17
4757.43,1.0114759699071606e-18,5.263802239139504e-17
4758.68,-6.222219324179408e-20,4.162801216939875e-17
4759.93,-1.5863282091791125e-18,3.487296519178239e-17
4761.18,9.21024735044742e-19,2.787023941570107e-17
4762.43,-1.5713408393810504e-18,2.9452271004560234e-17
4763.68,3.630515607809518e-18,2.927612970316531e-17
4764.93,-2.7695252276859104e-18,2.5415163836598994e-17
4766.18,-1.9013936877587657e-18,2.6494577737749135e-17
4767.43,1.925242612301481e-18,2.6617003864507714e-17
4768.68,2.131812409073299e-18,2.464559533015762e-17
4769.93,1.656927407881707e-18,2.5598522330191444e-17
4771.18,-2.437113856070293e-18,2.606062041549927e-17
4772.43,7.698304220808366e-20,2.4299069291101056e-17
4773.68,-9.866444692509889e-19,2.7060412118815187e-17
4774.93,2.2039301016224187e-18,3.678584395285529e-17
4776.18,8.922732756174502e-19,3.252061418047927e-17
4777.43,-5.299788995595949e-19,4.0162726552777386e-17
4778.68,-4.553273731469962e-19,3.517556687730109e-17
4779.93,-2.069881621644455e-19,2.960007468294055e-17
4781.18,-9.284124797954739e-19,2.7342631143886966e-17
4782.43,1.135425337576104e-18,2.6957779765446114e-17
4783.68,-1.6245672492700077e-18,3.21618616052309e-17
4784.93,2.926766992667654e-18,2.957959629602416e-17
4786.18,2.1513766030759028e-19,3.7082521992007417e-17
4787.43,-3.102470263861964e-18,4.0515532093612974e-17
4788.68,-1.3112534321106988e-18,3.720858427062119e-17
4789.93,1.9536950967578934e-18,3.629502390903734e-17
4791.18,3.991712005839529e-18,3.938218931558376e-17
4792.43,3.2222527620535317e-18,3.7250002518957086e-17
4793.68,-1.9854833172160533e-18,3.6445751685119633e-17
4794.93,-1.8298420073351156e-19,3.6142235069140384e-17
4796.18,1.2836392345323239e-18,4.216633172405382e-17
4797.43,-3.194153502831288e-18,4.0419378252451443e-17
4798.68,4.831010786549376e-20,4.501477626411609e-17
4799.93,6.446170416801125e-19,4.122883752469292e-17
4801.18,3.0261986687485728e-18,4.136486916006193e-17
4802.43,-2.318888325913187e-18,4.155636854167686e-17
4803.68,5.3813007957547615e-18,3.468880186352709e-17
4804.93,2.6102608060564e-18,3.3041416956808266e-17
4806.18,7.295194407556285e-19,2.6486950800735768e-17
4807.43,4.066471892620486e-18,2.947692384995105e-17
4808.68,-2.2209155029512677e-18,2.5617112025219568e-17
4809.93,1.4012694806522796e-18,2.980892278534866e-17
4811.18,2.645998847454074e-18,2.6820349997166525e-17
4812.43,1.997450979465733e-18,3.104221149112329e-17
4813.68,2.1634733349830694e-18,3.187594860298037e-17
4814.93,1.550618516227709e-19,3.0297327368200683e-17
